send_dt,send_time,send_number,category,text,emails_sent,emails_delivered,undeliverable,total_clicks,unique_clicks,unique_opens,unsubscribes,unique_complaints,total_complaints,gifts,revenue,Audience
3/10/2022,8:52:36 PM,1.0,Fundraising," ""Hello,

I'm writing to you on behalf of the XYZ foundation. We are a non-profit organization that provides assistance and support to families in need across the United States. The funds we raise help build homes for low income families",106985,106985,613.0,338.0,240,22536,112,30.0,30.0,55.0,4652.76,Other
6/29/2021,2:03:54 PM,1.0,Fundraising,"

Subject: How to help the homeless.
Dear [Name],
I've been thinking about what I can do to help make things better for people who are homeless and it's really got me thinking that there is a lot of work to",41438,41438,68.0,57.0,65,8687,84,15.0,14.0,57.0,18052.08,Partners
6/29/2021,2:03:48 PM,1.0,Fundraising," """"

Q: ""Can you write a sample subject line for an email from a non-profit charity asking for a donation? The tone of the email should be Thoughtful.
""""
A: """"

",87220,87220,1871.0,488.0,371,19480,160,67.0,67.0,207.0,33687.74,PNB
6/29/2021,2:03:57 PM,1.0,Fundraising,"

""I am writing to you because I want to bring your attention to an important issue. The topic is <subject>. Please, read the following text and if you agree with me, please, support our cause by donating <suggested amount",10534,10534,841.0,403.0,271,4689,34,19.0,19.0,26.0,11782.8,Partners
6/29/2021,2:03:49 PM,1.0,Fundraising,"

""Hello, my name is John Doe. I am writing to you from the [name of your organization] as a volunteer for our local chapter in [your town]. We are currently working on raising $10,000 to help fund our",17258,17258,497.0,187.0,172,2533,12,2.0,2.0,42.0,11725.36,PNB
6/30/2021,9:02:57 PM,2.0,Fundraising," 

Q: 
What is the best way to approach a prospect with an offer? The tone of your email should be Confident.
A: 

",150186,150186,1822.0,947.0,772,31770,250,89.0,91.0,105.0,22007.48,PNB
6/30/2021,9:00:39 PM,2.0,Fundraising,"

""Dear Mr. Smith,

I am writing to ask for your help in supporting our organization's efforts to raise money for the fight against AIDS. Your donation will go directly towards funding research and support programs that benefit those living with HIV",138299,138299,1918.0,445.0,300,23627,182,75.0,75.0,102.0,16821.04,Partners
6/30/2021,9:02:57 PM,2.0,Fundraising," ""Thank you for your interest in our work. We are a small charity working to improve the lives of children around the world, and we depend on support from people like you.""

Q: ""What is the difference between an email newsletter and",186371,186371,3820.0,1241.0,897,43114,348,103.0,103.0,71.0,23905.94,Partners
9/10/2020,1:10:00 AM,1.0,Appeal,"

""Hello, I am writing to you as a concerned citizen in regards to the current situation in [country]. As an individual who has been following this issue closely and is deeply saddened by the suffering of innocent people. I would like to offer",194061,194061,2875.0,1115.0,867,28898,226,70.0,71.0,165.0,32150.17,Field Partners
9/10/2020,1:01:00 AM,1.0,Appeal," ""I am writing to ask you for your help in supporting an important cause. The International Red Cross is asking individuals and organizations to support its efforts to provide relief to the victims of the recent earthquake in Haiti. Please click here [link] to make",67674,67674,1047.0,695.0,507,12309,76,17.0,17.0,89.0,12464.05,First Levels
9/10/2020,1:01:00 AM,1.0,Appeal,"

From: ""Support the Library"" <support@library.org>
To: jsmith@example.com
Subject: Support the Library!
Dear John Smith,  I hope you will support our library by making a donation",168022,168022,1877.0,526.0,445,38377,256,87.0,88.0,89.0,14824.92,Lapsed Donors
9/10/2020,1:10:00 AM,1.0,Appeal," I was thinking something like: ""We've been hacked! We need you now more than ever!""
""""""

Q: Can we have a sample subject line for an email from a non-profit charity asking for solidarity? The tone of the",25259,25259,966.0,111.0,69,2652,20,11.0,11.0,16.0,3972.06,Partners
9/10/2020,1:01:00 AM,1.0,Appeal," ""Dear Mr. [name],
We are writing to you because we believe that the people of your country should be free from oppression and sectarianism, as well as enjoy security and stability. 
The Syrian regime has committed massacres against its own",20900,20900,107.0,22.0,24,4315,12,7.0,7.0,42.0,4419.94,Lapsed Donors
9/10/2020,1:01:00 AM,1.0,Appeal,"
Dear [name],

I am writing to you on behalf of the charity [charity name] in order to ask for support. We are a small, non-profit organization that has been helping people affected by [problem] since our",33318,33318,482.0,360.0,297,10925,71,37.0,35.0,50.0,14373.85,Lapsed Donors
