send_dt,send_time,send_number,campaign,email_name,category,text,emails_sent,emails_delivered,undeliverable,total_clicks,unique_clicks,unique_opens,unsubscribes,unique_complaints,total_complaints,gifts,revenue,Audience,send_group,Open_Rate_nw,Click_Rate_nw,Donation_Rate_nw,revenue_1k_new,month,polarity_score,subjectivity_score,processed_text
2022-03-10,8:52:36 PM,1.0,DAF,2022-03-10-DAF-Postcard,fundraising,[NONPROFIT]'s Ukraine response and how you can make a greater impact,968,966,2.0,4.0,4,381,0,0.0,0.0,0.0,0.0,Other,2022-03-10-DAF-P,0.39359504132231404,0.004132231404958678,0.0,0.0,3,0.5,0.5,nonprofit ukraine response great impact
2021-06-29,2:03:54 PM,1.0,EOQ,2021-06-EOQ-deadline-E1-Partner-B,fundraising,You make our work possible,6829,6819,10.0,21.0,18,1603,3,0.0,0.0,7.0,3850.0,Partners,2021-06-EOQ-dead,0.23473422170156685,0.0026358178357006883,0.0010250402694391566,563.7721481915361,6,0.0,1.0,work possible
2021-06-29,2:03:48 PM,1.0,EOQ,2021-06-EOQ-deadline-E1-FM-PNB-B,fundraising,You make our work possible,84,84,0.0,0.0,0,21,0,0.0,0.0,0.0,0.0,PNB,2021-06-EOQ-dead,0.25,0.0,0.0,0.0,6,0.0,1.0,work possible
2021-06-29,2:03:57 PM,1.0,EOQ,2021-06-EOQ-deadline-E1-Partner-A,fundraising,DEADLINE: We?re just short of our goal,6882,6874,8.0,38.0,27,1494,10,4.0,4.0,14.0,6150.0,Partners,2021-06-EOQ-dead,0.21708805579773321,0.003923278116826504,0.002034292356873002,893.6355710549259,6,0.0,0.3,deadline we?re short goal
2021-06-29,2:03:49 PM,1.0,EOQ,2021-06-EOQ-deadline-E1-FM-PNB-A,fundraising,DEADLINE: We?re just short of our goal,80,80,0.0,1.0,1,16,1,1.0,1.0,0.0,0.0,PNB,2021-06-EOQ-dead,0.2,0.0125,0.0,0.0,6,0.0,0.3,deadline we?re short goal
2021-06-30,9:02:57 PM,2.0,EOQ,2021-06-EOQ-deadline-E2-FM-PNB-A,fundraising,FWD: We?re so close to the finish line,158,158,0.0,0.0,0,41,0,0.0,0.0,0.0,0.0,PNB,2021-06-EOQ-dead,0.25949367088607594,0.0,0.0,0.0,6,0.0,0.0,fwd we?re close finish line
2021-06-30,9:00:39 PM,2.0,EOQ,2021-06-EOQ-deadline-E2-Partner-A,fundraising,FWD: We?re so close to the finish line,19,19,0.0,1.0,1,16,0,0.0,0.0,20.0,7975.0,Partners,2021-06-EOQ-dead,0.8421052631578947,0.05263157894736842,1.0526315789473684,419736.84210526315,6,0.0,0.0,fwd we?re close finish line
2021-06-30,9:02:57 PM,2.0,EOQ,2021-06-EOQ-deadline-E2-Partner-A,fundraising,FWD: We?re so close to the finish line,12851,12830,21.0,80.0,52,2977,10,3.0,3.0,20.0,7975.0,Partners,2021-06-EOQ-dead,0.23165512411485487,0.004046377713796592,0.0015562991206909968,620.574274375535,6,0.0,0.0,fwd we?re close finish line
2020-09-10,1:10:00 AM,1.0,Moira,2020-09-Moira-Field-Partner,Appeal,Fires leave Moria refugee camp in ashes,58679,58578,101.0,707.0,480,9709,17,3.0,3.0,280.0,24998.0,Field Partners,2020-09-Moira-Fi,0.16545953407522282,0.008180098502019461,0.004771724126178019,426.01271323642186,9,0.0,0.0,fire leave moria refugee camp ashe
2020-09-10,1:01:00 AM,1.0,Moira,2020-09-Moira-AD-0-12-month-donors,Appeal,Fires leave Moria refugee camp in ashes,57593,57458,135.0,,263,8555,35,10.0,10.0,124.0,8454.0,First Levels,2020-09-Moira-AD,0.1485423575781779,0.004566527182122827,0.0021530394318754016,146.78867223447293,9,0.0,0.0,fire leave moria refugee camp ashe
