send_dt,send_time,send_number,campaign,email_name,category,text,emails_sent,emails_delivered,undeliverable,total_clicks,unique_clicks,unique_opens,unsubscribes,unique_complaints,total_complaints,gifts,revenue,Audience,send_group,Open_Rate_nw,Click_Rate_nw,Donation_Rate_nw,revenue_1k_new,month,polarity_score,subjectivity_score,processed_text,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral,Curiousity,Caring,Gratitude,Approval,Desire,Neutral,Excitement,Sadness,top_factor_label
2022-03-10,8:52:36 PM,1.0,DAF,2022-03-10-DAF-Postcard,fundraising,[NONPROFIT]'s Ukraine response and how you can make a greater impact,968,966,2.0,4.0,4,381,0,0.0,0.0,0.0,0.0,Other,2022-03-10-DAF-P,0.393595041322314,0.0041322314049586,0.0,0.0,3,0.5,0.5,nonprofit ukraine response great impact,0.0057200705632567,0.000640420243144,0.0004103253304492,0.0013991552405059,0.1239663213491439,0.1790790557861328,0.0042124860920012,0.021661015227437,0.0006028386997058,0.0003405368188396,0.0004355577693786,0.0002095530944643,0.0002587996714282,0.0153541453182697,0.0033413213677704,0.0013649533502757,0.0004935389151796,0.0009854524396359,0.0005863938713446,0.0010539076756685,0.1072234809398651,8.36634571896866e-05,0.0457122698426246,0.0006754206260666,0.0047890301793813,0.0011351206339895,0.0031150330323725,0.4751501083374023,-0.23113234339781957,0.5758320391003346,-0.17136741861615312,0.41805354972358605,-0.17434482096941806,1.0246501058261952,-0.13240232283635023,-0.15954244659568695,Neutral
2021-06-29,2:03:54 PM,1.0,EOQ,2021-06-EOQ-deadline-E1-Partner-B,fundraising,You make our work possible,6829,6819,10.0,21.0,18,1603,3,0.0,0.0,7.0,3850.0,Partners,2021-06-EOQ-dead,0.2347342217015668,0.0026358178357006,0.0010250402694391,563.7721481915361,6,0.0,1.0,work possible,0.0001358812587568,0.0002335283497814,0.0001021133502945,0.0020722995977848,0.0004934797761961,3.5107590520055965e-05,0.0005606441409327,0.0001312104577664,0.0017667085630819,0.0020759638864547,0.0006907269125804,5.213515032664873e-05,1.944189352798276e-05,3.342940181028098e-05,4.508274287218228e-05,2.1464380552060906e-05,2.6358167815487832e-05,5.303520447341725e-05,2.213473453593906e-05,5.891612090636045e-05,0.0169253051280975,1.6131827578647062e-05,0.0036810394376516,1.0017788554250728e-05,5.6721419241512194e-05,0.0005542638828046,0.0001433744910173,0.969983458518982,-0.4870130995635076,-0.3937922233707194,-0.30267338206995775,-0.3715710464734686,-0.194928904320256,0.009754938088001236,-0.4053145444408699,-0.3530523657026592,Neutral
2021-06-29,2:03:48 PM,1.0,EOQ,2021-06-EOQ-deadline-E1-FM-PNB-B,fundraising,You make our work possible,84,84,0.0,0.0,0,21,0,0.0,0.0,0.0,0.0,PNB,2021-06-EOQ-dead,0.25,0.0,0.0,0.0,6,0.0,1.0,work possible,0.0001358812587568,0.0002335283497814,0.0001021133502945,0.0020722995977848,0.0004934797761961,3.5107590520055965e-05,0.0005606441409327,0.0001312104577664,0.0017667085630819,0.0020759638864547,0.0006907269125804,5.213515032664873e-05,1.944189352798276e-05,3.342940181028098e-05,4.508274287218228e-05,2.1464380552060906e-05,2.6358167815487832e-05,5.303520447341725e-05,2.213473453593906e-05,5.891612090636045e-05,0.0169253051280975,1.6131827578647062e-05,0.0036810394376516,1.0017788554250728e-05,5.6721419241512194e-05,0.0005542638828046,0.0001433744910173,0.969983458518982,-0.4870130995635076,-0.3937922233707194,-0.30267338206995775,-0.3715710464734686,-0.194928904320256,0.009754938088001236,-0.4053145444408699,-0.3530523657026592,Neutral
2021-06-29,2:03:57 PM,1.0,EOQ,2021-06-EOQ-deadline-E1-Partner-A,fundraising,DEADLINE: We?re just short of our goal,6882,6874,8.0,38.0,27,1494,10,4.0,4.0,14.0,6150.0,Partners,2021-06-EOQ-dead,0.2170880557977332,0.0039232781168265,0.002034292356873,893.6355710549259,6,0.0,0.3,deadline we?re short goal,7.261394057422876e-05,0.0005388412391766,0.0014935678336769,0.0009663456585258,0.0010285327443853,0.0016228882595896,0.010058025829494,0.0035877039190381,0.0004328465438447,0.1323120445013046,0.0006587809184566,0.0001533602917334,0.0123481806367635,0.0002791679871734,0.002796369837597,0.0001076409680536,0.0014612028608098,0.0001054965032381,0.0117629216983914,0.002442326163873,0.0002851710887625,0.0001322543976129,0.0466997735202312,2.719210897339508e-05,0.220185250043869,0.5428408980369568,0.0009376514935865,0.0046629412099719,-0.20460145627223314,-0.45030491682743656,-0.25434836046080705,-0.07635960654368101,-0.3033582073515542,-0.18947395706595557,2.344971903229288,5.704274624054449,Sadness
2021-06-29,2:03:49 PM,1.0,EOQ,2021-06-EOQ-deadline-E1-FM-PNB-A,fundraising,DEADLINE: We?re just short of our goal,80,80,0.0,1.0,1,16,1,1.0,1.0,0.0,0.0,PNB,2021-06-EOQ-dead,0.2,0.0125,0.0,0.0,6,0.0,0.3,deadline we?re short goal,7.261394057422876e-05,0.0005388412391766,0.0014935678336769,0.0009663456585258,0.0010285327443853,0.0016228882595896,0.010058025829494,0.0035877039190381,0.0004328465438447,0.1323120445013046,0.0006587809184566,0.0001533602917334,0.0123481806367635,0.0002791679871734,0.002796369837597,0.0001076409680536,0.0014612028608098,0.0001054965032381,0.0117629216983914,0.002442326163873,0.0002851710887625,0.0001322543976129,0.0466997735202312,2.719210897339508e-05,0.220185250043869,0.5428408980369568,0.0009376514935865,0.0046629412099719,-0.20460145627223314,-0.45030491682743656,-0.25434836046080705,-0.07635960654368101,-0.3033582073515542,-0.18947395706595557,2.344971903229288,5.704274624054449,Sadness
2021-06-30,9:02:57 PM,2.0,EOQ,2021-06-EOQ-deadline-E2-FM-PNB-A,fundraising,FWD: We?re so close to the finish line,158,158,0.0,0.0,0,41,0,0.0,0.0,0.0,0.0,PNB,2021-06-EOQ-dead,0.2594936708860759,0.0,0.0,0.0,6,0.0,0.0,fwd we?re close finish line,4.21793338318821e-05,0.0001680880959611,3.88271946576424e-05,6.3172890804708e-05,0.000290152762318,3.504651976982132e-05,7.906626706244424e-05,0.0014426052803173,0.0001344988268101,2.3782009520800784e-05,2.3100179532775652e-05,3.231066875741817e-05,3.472135722404346e-05,0.991232931613922,0.000135838141432,5.916088775848039e-05,2.757938091235701e-05,0.00129212543834,6.419765850296244e-05,0.0011467641452327,2.729050720517989e-05,0.0001054335953085,0.0002806499542202,2.893327837227844e-05,5.6661410781089216e-05,4.780898234457709e-05,0.0010809700470417,0.0020059251692146,-0.12772889203481452,-0.012651968141266456,0.05116806237660587,-0.14251109906779635,-0.018231983015567277,-0.012890713029148293,3.5827298499373352,-0.3530323858748581,Excitement
2021-06-30,9:00:39 PM,2.0,EOQ,2021-06-EOQ-deadline-E2-Partner-A,fundraising,FWD: We?re so close to the finish line,19,19,0.0,1.0,1,16,0,0.0,0.0,20.0,7975.0,Partners,2021-06-EOQ-dead,0.8421052631578947,0.0526315789473684,1.0526315789473684,419736.8421052632,6,0.0,0.0,fwd we?re close finish line,4.21793338318821e-05,0.0001680880959611,3.88271946576424e-05,6.3172890804708e-05,0.000290152762318,3.504651976982132e-05,7.906626706244424e-05,0.0014426052803173,0.0001344988268101,2.3782009520800784e-05,2.3100179532775652e-05,3.231066875741817e-05,3.472135722404346e-05,0.991232931613922,0.000135838141432,5.916088775848039e-05,2.757938091235701e-05,0.00129212543834,6.419765850296244e-05,0.0011467641452327,2.729050720517989e-05,0.0001054335953085,0.0002806499542202,2.893327837227844e-05,5.6661410781089216e-05,4.780898234457709e-05,0.0010809700470417,0.0020059251692146,-0.12772889203481452,-0.012651968141266456,0.05116806237660587,-0.14251109906779635,-0.018231983015567277,-0.012890713029148293,3.5827298499373352,-0.3530323858748581,Excitement
2021-06-30,9:02:57 PM,2.0,EOQ,2021-06-EOQ-deadline-E2-Partner-A,fundraising,FWD: We?re so close to the finish line,12851,12830,21.0,80.0,52,2977,10,3.0,3.0,20.0,7975.0,Partners,2021-06-EOQ-dead,0.2316551241148548,0.0040463777137965,0.0015562991206909,620.574274375535,6,0.0,0.0,fwd we?re close finish line,4.21793338318821e-05,0.0001680880959611,3.88271946576424e-05,6.3172890804708e-05,0.000290152762318,3.504651976982132e-05,7.906626706244424e-05,0.0014426052803173,0.0001344988268101,2.3782009520800784e-05,2.3100179532775652e-05,3.231066875741817e-05,3.472135722404346e-05,0.991232931613922,0.000135838141432,5.916088775848039e-05,2.757938091235701e-05,0.00129212543834,6.419765850296244e-05,0.0011467641452327,2.729050720517989e-05,0.0001054335953085,0.0002806499542202,2.893327837227844e-05,5.6661410781089216e-05,4.780898234457709e-05,0.0010809700470417,0.0020059251692146,-0.12772889203481452,-0.012651968141266456,0.05116806237660587,-0.14251109906779635,-0.018231983015567277,-0.012890713029148293,3.5827298499373352,-0.3530323858748581,Excitement
2020-09-10,1:10:00 AM,1.0,Moira,2020-09-Moira-Field-Partner,Appeal,Fires leave Moria refugee camp in ashes,58679,58578,101.0,707.0,480,9709,17,3.0,3.0,280.0,24998.0,Field Partners,2020-09-Moira-Fi,0.1654595340752228,0.0081800985020194,0.004771724126178,426.01271323642186,9,0.0,0.0,fire leave moria refugee camp ashe,0.0002562024747021,0.0001047474579536,0.0022919324692338,0.0010265613673254,0.0013967632548883,0.0008135571260936,3.176443715346977e-05,6.793126522097737e-05,0.0001441916974727,0.0322689972817897,0.0002711276174522,0.0036192794796079,4.828716555493884e-05,3.484006447251886e-05,0.005427376832813,3.972565536969341e-05,0.0018024299060925,9.527708607492968e-05,0.0003526987566146,0.0004830911639146,0.00024702725932,2.298403524036985e-05,0.000752663007006,2.8994783860980533e-05,0.0006358011742122,0.9091335535049438,8.532921492587775e-05,0.0385169647634029,0.16178473700109886,0.08526158751618629,0.029556991341794125,0.12240282906510486,0.002598047401844217,-0.033202206072675655,-1.4050752160282176,2.655543815233713,Sadness
2020-09-10,1:01:00 AM,1.0,Moira,2020-09-Moira-AD-0-12-month-donors,Appeal,Fires leave Moria refugee camp in ashes,57593,57458,135.0,,263,8555,35,10.0,10.0,124.0,8454.0,First Levels,2020-09-Moira-AD,0.1485423575781779,0.0045665271821228,0.0021530394318754,146.78867223447293,9,0.0,0.0,fire leave moria refugee camp ashe,0.0002562024747021,0.0001047474579536,0.0022919324692338,0.0010265613673254,0.0013967632548883,0.0008135571260936,3.176443715346977e-05,6.793126522097737e-05,0.0001441916974727,0.0322689972817897,0.0002711276174522,0.0036192794796079,4.828716555493884e-05,3.484006447251886e-05,0.005427376832813,3.972565536969341e-05,0.0018024299060925,9.527708607492968e-05,0.0003526987566146,0.0004830911639146,0.00024702725932,2.298403524036985e-05,0.000752663007006,2.8994783860980533e-05,0.0006358011742122,0.9091335535049438,8.532921492587775e-05,0.0385169647634029,0.16178473700109886,0.08526158751618629,0.029556991341794125,0.12240282906510486,0.002598047401844217,-0.033202206072675655,-1.4050752160282176,2.655543815233713,Sadness
